date,open,high,low,close,volume,oi,vwap,8,9
2020-03-20 12:08:00,85.30,85.30,80.05,80.05,40,6260,,,
2020-03-20 12:55:00,85.05,85.05,85.05,85.05,20,6260,,,
2020-03-20 12:56:00,98.85,98.85,98.85,98.85,20,6260,,,
2020-03-20 13:03:00,90.00,90.00,90.00,90.00,40,6240,,,
2020-03-20 13:57:00,82.05,82.05,82.05,82.05,20,6220,,,
2020-03-20 14:13:00,94.70,94.70,94.70,94.70,20,6200,,,
2020-03-20 14:15:00,83.10,83.10,83.10,83.10,20,6220,,,
2020-03-20 14:20:00,85.15,85.15,85.15,85.15,20,6240,,,
2020-03-20 14:21:00,85.10,85.10,85.10,85.10,20,6240,,,
2020-03-20 14:33:00,94.85,94.85,94.85,94.85,20,6260,,,
2020-03-20 14:55:00,89.75,89.75,89.75,89.75,20,6260,,,
2020-03-20 15:00:00,79.80,79.80,79.80,79.80,20,6260,,,
2020-03-20 15:07:00,91.65,94.80,91.65,94.80,40,6240,,,
2020-03-20 15:09:00,82.10,82.10,82.10,82.10,20,6240,,,
2020-03-20 15:27:00,89.90,89.90,89.90,89.90,20,6220,,,
2020-03-23 13:41:00,61.10,61.10,61.10,61.10,200,6220,,,
2020-03-23 13:42:00,61.10,61.10,61.10,61.10,100,6140,,,
2020-03-23 13:52:00,58.00,58.00,58.00,58.00,60,6140,,,
2020-03-23 14:21:00,64.00,64.00,64.00,64.00,20,6080,,,
2020-03-23 14:23:00,70.00,70.00,58.05,58.05,60,6080,,,
2020-03-23 14:28:00,58.00,58.00,58.00,58.00,20,6100,,,
2020-03-23 14:34:00,67.95,67.95,67.95,67.95,20,6080,,,
2020-03-23 14:35:00,68.95,68.95,68.95,68.95,60,6080,,,
2020-03-23 15:02:00,67.95,67.95,67.95,67.95,20,6100,,,
2020-03-23 15:21:00,67.95,67.95,67.95,67.95,20,6100,,,
2020-03-23 15:25:00,80.00,80.00,80.00,80.00,60,6100,,,
